title,Element number,NIH Value,Element title,Generated Content
Drug discovery including intellectual property,element_5a,"If we have an invention for which we intend to seek patent protection, we may request approval to delay 
the sharing of scientific data associated with it until a patent is filed and will update this Plan to reflect any 
approved delays in data sharing beyond expected data sharing timelines. We anticipate that if intellectual 
property is generated, it would be on the methods of synthesis of Compound A analogs and chemical 
structures. To maximize data sharing, we will share the physical properties and use of the Compound A 
analogs, including binding specificity, Kd values, and imaging data without delay.","3. **Protections for privacy, rights, and confidentiality of human research participants:**","- Not applicable; no human participant data will be generated or shared under this project.

**Element 6: Oversight of Data Management and Sharing:**  
Compliance with this Data Management and Sharing Plan will be overseen by the Principal Investigator (PI) and the project’s designated Data Steward (e.g., Research Data Manager).  
- Oversight will include quarterly reviews of data curation status, repository submissions, and documentation completeness.
- The Data Steward will be responsible for ensuring timely data upload, metadata quality, and adherence to data sharing timelines.
- Compliance will be reviewed annually by the institution’s Office of Research Compliance or equivalent body."
HeLa Cell Whole Genome Sequence (DNA or RNA),element_5a,"The NIH-Lacks Family Agreement (Agreement) expects NIH-funded investigators who generate HeLa cell whole genome sequence data (DNA or RNA) to submit those data to NIH through dbGaP to the HeLa cell Genome Sequencing Studies. The data are distributed according to the HeLa Genome Data Use Agreement under Health, Medical, and Biomedical (HMB) purposes. Through the NIH-Lacks Family Agreement, an Institutional Certification with the designated HMB data use limitation has been completed for the HeLa cell Genome Sequencing Studies and is held by dbGaP. No additional Institutional Certification is needed.","3. **Protections for privacy, rights, and confidentiality of human research participants:**","The HeLa cell line is derived from a historical research participant and is widely used as a public resource. No personally identifiable information will be included with the data. All data will be de-identified and compliance with applicable policies (including Certificates of Confidentiality, if required) will be maintained to ensure the privacy and rights of individuals are respected.

**Element 6: Oversight of Data Management and Sharing:**  
Compliance with this Data Management and Sharing Plan will be overseen by the Principal Investigator (PI) in collaboration with the institution’s Data Steward and the Office of Research Compliance. Oversight will include quarterly reviews of data management activities, verification of timely data deposition, and ongoing monitoring to ensure adherence to NIH policies. Documentation of compliance will be maintained and reported as part of annual progress reports and at the time of publication."
Secondary Data Analysis on Data from Human Subjects-NIA,element_5a,"The primary datasets analyzed in this project are publicly available under controlled access and shared 
under the guidelines of their respective repositories (OASIS and BLSA). Individuals interested in accessing 
these datasets should contact the original repository. New variables generated from this secondary 
analysis of the existing dataset will be returned to the BLSA and OASIS data system for sharing through 
their established channels. We will adhere to the respective Data Use Agreements for OASIS and BLSA, 
which prohibit any attempts to re-identify research participants or redistribute primary and secondary 
derived data. We will provide proper attribution to these organizations in any publication or presentation 
of results derived from these datasets and submit the results for review prior to publication. ","3. **Protections for privacy, rights, and confidentiality of human research participants:**","All data shared will be de-identified, with all direct and indirect identifiers removed in accordance with the HIPAA Privacy Rule and institutional review board (IRB) guidance. The original informed consent for BLSA and OASIS-3 participants includes broad data sharing. No individual-level identifiers will be included in any shared files. Data will be stored and managed on secure, access-controlled servers prior to public release.

**Element 6: Oversight of Data Management and Sharing:**  
Compliance with this Data Management and Sharing Plan will be overseen by the Principal Investigator (PI) and the project’s Data Steward. The PI will review data management activities quarterly, ensure timely deposition of data and associated materials, and coordinate with the institution’s Office of Research Compliance. The Data Steward will document data handling, prepare materials for sharing, and maintain records of data releases. Adherence to this Plan will be reported in annual progress reports to NIH."
Analysis of social media posts,element_5a,"Terms of the contract with the third-party vendor and privacy concern restrict the wide
dissemination or sharing of raw social media data. No additional limitations apply other 
than the controls and privacy protections described below.","3. **Protections for privacy, rights, and confidentiality of human research participants:**","All data will be de-identified according to established best practices before sharing. Direct and indirect identifiers (e.g., names, social media handles, user IDs, URLs, or location data) will be removed. Data will be aggregated or masked as necessary to prevent re-identification, especially for small subgroups. All participants will provide informed consent for data sharing. The study will obtain a Certificate of Confidentiality from NIH to further protect participant privacy and rights.

**Element 6: Oversight of Data Management and Sharing:**  
The Principal Investigator (PI) will be responsible for oversight of data management and sharing, supported by a designated Data Manager/Data Steward. Compliance will be monitored quarterly through internal data audits and annual progress reports. Oversight responsibilities include ensuring adherence to the approved DMSP, verifying de-identification prior to sharing, and maintaining documentation of data requests and releases. The Institutional Review Board (IRB) will review data sharing procedures annually to ensure ongoing protection of research participants."
Clinical and MRI data from human research participants,element_5b,"To request access of the data, researchers will use the standard processes at NDA, and the NDA Data Access Committee will decide which requests to grant. The standard NDA data access process allows access for one year and is renewable.",,
Genomic data from human research participants,element_5b,"To request access of the data, researchers will use the standard processes at NDA, and the NDA Data Access 
Committee will decide which requests to grant. The standard NDA data access process allows access for one 
year and is renewable.",,
Genomic data from a non-human source,element_5b,"Access to the human data sets in NeMO is controlled. The NIMH Data Archive Data Access Committee serves 
as the data access committee for NeMO.",,
Secondary data analysis,element_5b,"To request access of the data, researchers will use the standard processes at NDA, and the NDA Data Access 
Committee will decide which requests to grant. The standard NDA data access process allows access for one 
year and is renewable. Once the data are submitted to NDA, that archive will control the long-term persistence of 
the data set. Currently, NDA has no process for deleting or retiring data sets.",,
Human clinical and genomics data,element_5b,"Data will be controlled access with the General Research Use Data Use Limitation, as allowed by the 
informed consent and the institutional certification.
",,
Gene expression analysis data from non-human model organism (zebrafish),element_5b,Data will be open-access and available publicly.,,
Human survey data,element_5b,"Public Use Data: All deidentified study data that are not designated as restricted use will be made 
available as public use data to the research community via DSDR. Users of the public use data must 
register with ICPSR and agree to the Terms of Use, which are designed to protect study participants by 
limiting data use to scientific research and aggregate statistical reporting, prohibiting attempts to identify 
study participants, and requiring immediate reporting of any disclosure of study participant identity. 
Data users also agree not to share or redistribute any data downloads.
Restricted Access Data: Data that are determined to be potentially identifying through indirect or 
deductive disclosure are provided under restricted data contract to users who demonstrate a valid 
research need and meet conditions of use. These restricted data will include separate files with 
geospatial indicators below the level of state, such as county, census tract, block-group, and block for 
all years; individual-level links to school codes and detailed school data from NCES; and linkages to 
contextual data. Access to restricted study data is available via a virtual data enclave system at 
DSDR/ICPSR. The enclave provides remote access to the specific restricted data components for 
which a user has been approved.",,
Clinical Data from Human Research Participants,element_5b,"To maximize the appropriate sharing of scientific data and protect research participants’ privacy and 
confidentiality, reuse of this dataset should use the following Data Use Limitations (DULs) under Controlled 
Access that is made available by a data repository only after approval of the request by the Vivli independent 
review panel process. 
• Health/Medical/Biomedical - The dataset can only be used for studying health, medical, or biomedical 
conditions and does not include the study of population origins or ancestry. 
• IRB Approval Required (IRB) - The requesting institution’s IRB or equivalent body must approve the 
requested use",,
Human genomic data,element_5b,"Individual-level genomic and clinical data will be shared via controlled-access. Given the funding source for this 
project by NHGRI, the NHGRI Data Access Committee (DAC) will manage access to the dataset once it is 
released. Metadata, and associated documentation (such as study protocols) will be openly available via the 
AnVIL.",,
Technology development,element_5b,"No, we are using human samples for which genomic data can be shared via unrestricted access.",,
Basic Research from a Non-Human Source Example,element_5b,Data will be made publicly available and data access will not be controlled,,
Secondary Data Analysis Example,element_5b,"Data access will be controlled through the dbGaP. This will allow for association of kidney volume estimates produced from this study with 
the other clinical, imaging, and genomic data for the associated research participants. ",,
Survey and Interview Example,element_5b,"Survey data and metadata will be shared through AnVIL as open access. Interview data will be shared through AnVIL as
controlled access to further protect research participants. The NHGRI Data Access Committee (DAC) will manage access 
to the controlled datasets. Users of the data in AnVIL must register with AnVIL and agree to the Terms of Use. Data users 
also agree not to share or redistribute any data downloads.",,
Human Clinical Trial Data,element_5b,"Clinical and laboratory data will be shared with controlled access in DASH for general research use. 
Deidentified data shared with MIDRC will be available via registered access",,
Clinical data from human research participants-NIA,element_5b,"Prior to release of individual-level data, researchers will be required to complete data sharing and 
confidentiality agreements as established by [Repository Name Here]. Researchers must commit to 1) 
not attempting to re-identify participants, 2) secure the data with appropriate technology and enforce 
strict access rules, 3) destroy data after analyses are completed, 4) meet any requirements as 
stipulated by the health system involved in the study, and 5) if research is conducted within a covered 
entity, HIPAA requirements must be met prior to use.",,
"Survey, interview, and biological data (tiered access)",element_5b,"Public-access data will be available to researchers through the [Repository Name Here] website. 
Researchers who wish to use the most sensitive data and/or link project data to other datasets must 
apply for access through a contract request to use the [Repository Name Here] virtual data enclave. ",,
Non-human data (primates),element_5b,"Access to data will not be controlled, except in situations when videos include footage that could put 
the researchers at risk. All shared data will be openly available.",,
Secondary data analysis-NIA,element_5b,"Access to the public-use data employed in this application is available through the repository of origin 
under their use guidelines. ",,
Survey and interview data-NIA,element_5b,"De-identified data will be freely available on the repository website. Restricted data (I.e., digital 
recordings which cannot be de-identified) will be available through a data use agreement. Data use 
agreements providing access to sensitive data will be managed by the repository of record. ",,
Human clinical and genomic data-NIA,element_5b,"NIAGADS will facilitate controlled-access to genomic data through the NIAGADS Data Access and 
Data Use Committees. Data will be made available to authorized users who have obtained approval to 
access the NIAGADS repository",,
Non-human data (rodents)-NIA,element_5b,"Scientific data generated by this project will not be controlled (i.e., they will be openly accessible).",,
Clinical data (human biospecimens),element_5b,"A committee to oversee data sharing of all datasets will review requests from qualified investigators that 
initiate requests for clinical trial data. All requests will be reviewed for scientific merit and feasibility. A 
Data Use Agreement (DUA) will be put in place with any academic group or scientists before any 
transfer of data. Investigators receiving the data will be required to abide by the conditions of these 
agreements. All data queries/requests will be logged in a data repository tracking log.",,
Drug discovery including intellectual property,element_5b,Scientific data and metadata will be distributed as open access at the AD Knowledge Portal since it is non_x0002_,,
HeLa Cell Whole Genome Sequence (DNA or RNA),element_5b,"Yes, data will be controlled. Access requests for HeLa Cell Genome Sequences Studies are evaluated by the Advisory Committee to the Director (ACD) HeLa Genome Data Access Working Group to assess whether terms of use align with the HeLa Genome Data Use Agreement. The requests are then reviewed by the ACD to recommend to the NIH Director to approve or disapprove. The NIH Director makes the final access decision.",,
Secondary Data Analysis on Data from Human Subjects-NIA,element_5b,"The existing primary datasets are publicly available and shared under controlled access according to their 
respective repositories' guidelines. We will not redistribute the primary data or attempt to identify research 
participants. All derived secondary data, including atlases and aging trajectory, will be stored in the primary 
data repositories (OASIS and BLSA) with controlled access. Codes and analysis modules for the 
secondary analyses will be uploaded to GitHub and NITRC where they will be publicly accessible. ",,
Analysis of social media posts,element_5b,"Study data will be made available as public use data to the research community via Data 
Sharing for Demographic Research (DSDR). Users of the public use data must register with 
ICPSR and agree to the Terms of Use, which are designed to protect study participants by
limiting data use to scientific research and aggregate reporting, prohibiting attempts to 
identify individual SM users or RCT participants, and requiring immediate reporting of any 
disclosure of study participant identity. Data users also agree not to share or redistribute 
any data downloads.",,
Clinical and MRI data from human research participants,element_5c,The NDA GUID tool allows researchers to aggregate data from the same research participant without different laboratories having to share personally identifiable information about that research participant. The NDA data dictionaries do not permit personally identifiable information to be shared. NDA maintains a Certificate of Confidentiality.,,
Genomic data from human research participants,element_5c,"The NDA GUID tool allows researchers to aggregate data from the same research participant without different 
laboratories having to share personally identifiable information about that research participant. The NDA data 
dictionaries do not permit personally identifiable information to be shared. NDA maintains a Certificate of 
Confidentiality. ",,
Genomic data from a non-human source,element_5c,"The data are deidentified, and there is data access committee (see 5B) that is used by NeMO to evaluate the 
proposed use of the sensitive data from human subjects. The data archives which will hold the data are funded 
by NIH, so they have a Certificate of Confidentiality.",,
Secondary data analysis,element_5c,"The NDA GUID tool allows researchers to aggregate data from the same research participant without different 
laboratories having to share personally identifiable information about that research participant. The NDA data 
dictionaries do not permit personally identifiable information to be shared. NDA maintains a Certificate of 
Confidentiality. 
For the 155 participants from our previous study, exact dates have been obscured via the Shift and Truncate 
method [1], which preserves within-case temporal relations.",,
Human clinical and genomics data,element_5c,"Informed consent documents used for the proposed clinical trial will include explicit language informing 
the participant or legally authorized representative that residual biological specimens, including DNA, 
may be stored in a biorepository for other scientific investigations. The informed consents will contain 
language permitting secondary use with broad data sharing under controlled access with general 
research use restrictions in DASH (clinical data) and dbGaP/SRA (genomic data). Patients will not be 
contacted or re-consented for future sharing or accessing data through repositories. 
Privacy and confidentiality protections consistent with applicable federal, Tribal, state, and local laws, 
regulations, and policies will be followed. Data will be deidentified by removing all 18 HIPAA identifiers 
prior to sharing, and the study will have a Certificate of Confidentiality from NIH",,
Gene expression analysis data from non-human model organism (zebrafish),element_5c,Not applicable as this project does not have human research participants.,,
Human survey data,element_5c,"Once the fieldwork data collection for this study has concluded, all direct respondent identifiers (e.g., 
names and addresses) will be removed and maintained in a separate control file for future contact 
purposes. Participants’ identifying information is only accessed by approved staff as part of the project 
duties within a secure computing environment. Linkages to detailed school data from NCES are based 
on a school directory look-up that occurs as part of the interview. Geocoding and linkage to contextual 
information will be done following data collection. Deidentification will be completed by the end of data 
processing, prior to the finalization of the public use and restricted data files.
Study respondents will be asked to consent to data collection and sharing with the wider research 
community. 
The privacy, rights, and confidentiality of human subject participants in this study will be protected 
through the suppression of all direct respondent identifiers, the careful classification of any potentially 
identifying data as restricted access, the high security standards through which the DSDR/ICPSR 
virtual data enclave provides access to restricted data for approved researchers, and the project’s 
Certificate of Confidentiality.",,
Clinical Data from Human Research Participants,element_5c,"To protect research participants’ privacy and confidentiality, data submitted to the repository will not include 
personally identifiable information such as names or addresses. Additional protections, such as the approach for 
managing Health Insurance Portability and Accountability Act identifiers, will be used for de-identification or to 
provide a limited data set to minimize the risk of participant reidentification. ",,
Human genomic data,element_5c,"Data will be de-identified according to HIPAA and the Common Rule. Participants will have the opportunity [to opt_x0002_out of such sharing] or to withdraw their data from the database by contacting the study team or the university’s 
research administration office. We will track these preferences closely and respect individual participant wishes.
Upon receipt of an NIH Award, the data for this study will be protected by a Certificate of Confidentiality.",,
Technology development,element_5c,"Only genomic data will be shared; we are not obtaining demographic or phenotypic information from BIOBANK X.
Upon receipt of an NIH Award, the data for this study will be protected by a Certificate of Confidentiality.",,
Basic Research from a Non-Human Source Example,element_5c,No human samples or research participants will be used in this study.,,
Secondary Data Analysis Example,element_5c,This study proposes to use only data that has already been de-identified. Shared data generated from this project will report subject_x0002_,,
Survey and Interview Example,element_5c,"Data will be de-identified according to HIPAA and the Common Rule. All direct respondent identifiers (e.g., names,
residence, email addresses) will be removed. Interview transcripts will be redacted to remove additional non-standard 
identifiers. Deidentification will be completed prior to the finalization of shared data files. Digitally recorded interviews will be 
deleted following transcription.
Participants will have the opportunity to opt out of sharing during informed consent procedures. Once personally identifying 
information are removed from the data set and deleted, we will not be able to identify data associated with a specific 
research participant for removal from the dataset. Limited provisions for participants’ withdrawal of data from sharing 
protocols will be outlined in informed consent.
Upon receipt of an NIH Award, the data for this study will be protected by a Certificate of Confidentiality",,
Human Clinical Trial Data,element_5c,"For a prospective study like this one, consent procedures will include provision for data sharing to 
maximize the value of the data for wider research use, while providing adequate safeguards for 
participants. As part of the consent process, proposed procedures for data sharing will be set out 
clearly and current and potential future risks associated with this will be explained to research 
participants.
Language informing the participant or legally authorized representative that residual biological 
specimens may be stored in a biorepository for other scientific investigations will be used in the consent 
forms. The informed consents will contain language permitting secondary use with broad data sharing 
under controlled access for general research use through established data repositories such as DASH 
(clinical and laboratory data) and MIDRC (imaging). Patients will be informed that they will not be 
contacted or re-consented for future sharing or accessing data through repositories. 
Privacy and confidentiality protections will be consistent with applicable federal, Tribal, state, and local 
laws, regulations, and policies. 
As the data is collected it will be digitally preserved in our secure institutional cloud storage 
environment and the PI’s computer under strict password access. As this research data includes 
personal data relating to human participants, special measures will be followed to safeguard the 
security of data. We will follow robust policies for managing confidentiality and data security, consistent 
with legal, good practice and NIH policy requirements. This study will be compliant with ISO 27001 IT 
security standards. Our institution is ISO compliant (registration number 2374573.)
Data will be deidentified before sharing in DASH and MIDRC by removing all 18 direct identifiers 
according to HIPAA Privacy Rule’s Safe Harbor.",,
Clinical data from human research participants-NIA,element_5c,"All accessible data will be de-identified and in the case of HIPAA conflicts, a limited data set will be 
created. The institution will determine whether the de-identified individual-level data are subject to the 
NIH Certificate of Confidentiality policy, and if so, will protect accordingly and ensure that recipients of 
the data are aware of the protection.",,
"Survey, interview, and biological data (tiered access)",element_5c,"Participants will be provided a broad consent document [if allowed under IRB review] to facilitate data 
sharing. Data will be de-identified, and the tiered-access plan will provide additional protections for the 
data based upon risk assessment. The institution will determine whether the de-identified individual-level 
data are subject to the NIH Certificate of Confidentiality policy, and if so, will protect accordingly and 
ensure that recipients of the data are aware of the protection.",,
Non-human data (primates),element_5c,N/A. No human data will be generated or shared.,,
Secondary data analysis-NIA,element_5c,"No new data will be collected from this project, only analysis of existing data. Data deidentification 
procedures applied to the data of origin ensures that no contact with original respondents is possible.",,
Survey and interview data-NIA,element_5c,"All direct participant identifiers will be removed from data prior to sharing. Restricted data (I.e., digital 
recordings which cannot be de-identified) will be available through a data use agreement. Study 
participants will be asked to consent to widespread data sharing with the research community based 
upon recommendations of the local IRB and approval of the consent document. The institution will 
determine whether the de-identified individual-level data are subject to the NIH Certificate of 
Confidentiality policy, and if so, will protect accordingly and ensure that recipients of the data are aware 
of the protection.",,
Human clinical and genomic data-NIA,element_5c,"All human scientific data will be de-identified in accordance with HIPAA and the Common Rule. Data 
will be shared and made available according to the data use limitations stipulated by the participants’ 
informed consent. The investigator will apply for a certificate of confidentiality from NIH.",,
Non-human data (rodents)-NIA,element_5c,Not applicable; this project does not involve human research participants.,,
Clinical data (human biospecimens),element_5c,"All data will be de-identified prior to receipt by the repository. Internal study ID numbers and Global 
Unique Identifiers (GUIDs) will be generated separate from personal identifiers. A master key document 
will be securely maintained by the study team connecting participant identifiers to study IDs and will be 
separate from de-identified data. The NIA GUID instance allows researchers to aggregate data from the 
same research participant without different laboratories having to share personally identifiable 
information about that research participant. Personally identifiable information will not be shared. Informed Consent: Participants will be informed that de-identified data will be stored and shared with 
other institutions or companies as approved by a Scientific Review Committee and in accordance with 
all applicable regulations. Written informed consent will be obtained at the beginning of the first study 
visit. Potential participants will have discussed the data sharing process for the study over the phone at 
least once in addition to having read recruitment materials and completed screening instruments.",,
Drug discovery including intellectual property,element_5c,Not applicable since this project involves only preclinical animal models.,,
HeLa Cell Whole Genome Sequence (DNA or RNA),element_5c,"Upon receipt of an NIH Award, the data for this study will be protected by a Certificate of Confidentiality.",,
Secondary Data Analysis on Data from Human Subjects-NIA,element_5c,"This study involves analyzing existing, de-identified data shared under the guidelines and restrictions of 
OASIS and BLSA repositories. No additional human subject deidentification or consent will be required. ",,
Analysis of social media posts,element_5c,"Once the data collection for this study has concluded, all participant identifiers (e.g.,
names and addresses) will be removed and destroyed. RCT study participants will be asked 
to consent to data collection and broad sharing of deidentified data with the wider 
research community for additional research. 
The privacy, rights, and confidentiality of human subject participants will be protected
through the removal and redaction/deletion of all direct personally identifying information, 
the careful classification of any potentially identifying data, and based on the security 
standards of the DSDR/ICPSR virtual data enclave. These steps will prevent reidentification 
of study participants and users whose posts are captured in the social media corpus.",,
Clinical and MRI data from human research participants,element_6,The Office of Sponsored Programs at University X that will be administering this award has created a data management and sharing plan compliance system as part of their process for submitting the annual NIH progress report. That Office is collecting information related to the number of research participants that are deposited each reporting year. The Office of Sponsored Programs will also look for the NDA data DOIs from NDA Studies and will include that information in the annual progress report.,,
Genomic data from human research participants,element_6,"The Office of Sponsored Programs at University X that will be administering this award has created a data 
management and sharing plan compliance system as part of their process for submitting the annual NIH progress 
report. That Office is collecting information related to the number of research participants that are deposited 
each reporting year. For this award, clinical data will be deposited in NDA every six months. The Office will 
check that the recruiting totals reported in the progress report are consistent with the data that has been 
deposited into NDA. The Office of Sponsored Programs will look for the NDA data DOIs when publications occur 
and will include that information in the annual progress report. The sequencing experiments will be conducted in 
the final year of the grant award, and those data will be submitted to and released by NDA prior to the end of the 
grant award.
Validation Schedule (this section is required by NIMH)
If funded, within 6 months of the Notice of Award date we will submit a Data Submission Agreement signed by 
the principal investigators and an institutional business official. We will also define and complete the Data 
Expected section of this project. Uploads of demographic, clinical, and raw structural MRI, 1
H fMRS and fMRI 
research data will begin at the second submission cycle deadline following the Notice of Award date. Subsequent 
data uploads will be harmonized, validated, and submitted biannually on the standard January 15th and July 15th
submission deadlines.
The NDA Validation and Upload tool will be used for quality control on newly collected phenotypic and clinical 
data every two weeks.",,
Genomic data from a non-human source,element_6,"The Office of Sponsored Programs at University X that will be administering this award has created a data 
management and sharing plan compliance system as part of their process for submitting the annual NIH progress 
report. That Office will be monitoring submission of data to NEMO. 
Validation Schedule (this section is required by NIMH)
Data will be validated using the existing pipelines at NeMO. We will submit each dataset once we reach a 
specific data freeze milestone. Upon each data freeze we will perform an initial phase of analysis that will 
culminate in the production of the cell × property matrix and associated metadata, at which point the dataset will 
be released. 
These milestones and target timelines include: 
End of 1st quarter of year 2: A full spatial single-cell ATAC-seq map of an entire mouse brain at P14. 
End of 4th quarter of year 2: An accompanying spatially-mapped single-cell RNA-seq dataset for a full mouse 
brain at P14, integrated with the ATAC dataset. 
End of 2nd quarter of year 3: A full spatial single-cell ATAC-seq map of each time point. 
End of 2nd quarter of year 3: A full spatial single-cell DNA methylation map for P14, integrated with RNA and 
ATAC datasets. 
End of 4th quarter of year 3: The complete spatial single-cell RNA-seq dataset for all time points, integrated with 
the ATAC data. 
End of 4th quarter of year 3: A full spatial single-cell map for all modalities, ATAC, RNA, and DNA methylation, 
integrated across modalities.",,
Secondary data analysis,element_6,"The Office of Sponsored Programs at University X has created a data management and sharing plan compliance 
system as part of their process for submitting the annual NIH progress report. That Office is collecting 
information related to the number of research participants that are deposited each reporting year. For this award, 
all of the data will be uploaded in the first year, so the data deposition oversight will end then. The Office of 
Sponsored Programs will look for the NDA data DOIs when papers are published and will include that information 
in the annual progress report.
Validation Schedule (this section is required by NIMH)
Since this is a secondary data analysis application, validation of newly collected data will not occur. The new 
data to be deposited to NDA will go through their validation tool when the data are initially uploaded.",,
Human clinical and genomics data,element_6,"Data will be submitted by a project data manager from the PI’s project team. The data manager will 
oversee data collection, analysis, storage, and sharing. Compliance with the plan will be monitored by 
the PI routinely. The PI will conduct monthly meetings with key study personnel to ensure the timeliness 
of data entry and will review data to ensure quality of data entry. The PI will ensure data are submitted 
and shared according to this DMSP",,
Gene expression analysis data from non-human model organism (zebrafish),element_6,"The contact PI for the project is Dr. Investigator at the University of Somewhere. Dr. Investigator will 
meet monthly with members of the research project team, Dr. Collaborator (University of Somewhere, 
imaging data collection), Ms. Manager (University of Somewhere, data system manager), and Dr. 
Colleague (University of Elsewhere, collection of tissue sample) to ensure that data collection, 
management, and submission to the repositories occur in a manner compliant with this Data 
Management and Sharing Plan",,
Human survey data,element_6,"Monitoring of and compliance with this Data Management and Sharing Plan will be the responsibility of 
the project’s Principal Investigator. The plan will be implemented and managed by professional staff 
working under the direction of the PI",,
Clinical Data from Human Research Participants,element_6,"The Principal Investigator for this project, Dr. ABC, will ensure that this Data Management and Sharing (DMS) Plan is 
followed. The institutional official (title and role), will be responsible for oversight of compliance with the accepted 
DMS Plan. Compliance will be evaluated annually during the award period and progress towards the plan’s DMS 
activities will be included in the annual Research Performance Progress Report submitted to the NIDDK Project 
Officer. At the project conclusion, the final progress report will summarize how the DMS objectives were fulfilled and 
provide links to the shared dataset(s).",,
Human genomic data,element_6,"The Office of Sponsored Programs at University X that will be administering this award has created a data 
management and sharing plan compliance system as part of their process for submitting the annual NIH progress 
report. That Office is collecting information related to the number of research participants whose data are 
deposited each reporting year. The Office will check that the recruiting totals reported in the progress report are 
consistent with the data that has been deposited into AnVIL or consistent with most up to date recruitment 
numbers. The Office of Sponsored Programs will look for the AnVIL data DOIs when publications occur and will 
include that information in the annual progress report.",,
Technology development,element_6,"The study PI will be overseeing execution of this Data Management and Sharing Plan. X PI will be assessing 
quality metrics and will determine when data are of a sufficient quality to be shared broadly via the AnVIL. 
Progress on data sharing will be reported in the Research Performance Progress Report. Given this is a 
technology development project, we anticipate that this Plan may need to be updated as the project progresses",,
Basic Research from a Non-Human Source Example,element_6,"The Principal Investigator for this project, Dr. ABC, will ensure that this Data Management and Sharing (DMS) Plan is followed. The 
institutional official (title and role), will be responsible for oversight of compliance with the accepted DMS Plan. Compliance will be 
evaluated annually during the award period and progress towards the plan’s DMS activities will be included in the annual Research 
Performance Progress Report (RPPR) submitted to the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) Project 
Officer. At the project conclusion, the final progress report will summarize how the DMS objectives were fulfilled and provide links to the 
shared dataset(s).",,
Secondary Data Analysis Example,element_6,"The Principal Investigator for this project, Dr. ABC, will ensure that this Data Management and Sharing (DMS) Plan is followed. The 
institutional official (title and role), will be responsible for oversight of compliance with the accepted DMS Plan. Compliance will be 
evaluated annually during the award period and progress towards the plan’s DMS activities will be included in the annual Research 
Performance Progress Report (RPPR) submitted to the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) Project 
Officer. At the project conclusion, the final progress report will summarize how the DMS objectives were fulfilled and provide links to the 
shared dataset(s).",,
Survey and Interview Example,element_6,"The study PI will oversee execution of this Data Management and Sharing Plan. The PI will oversee data curation, 
redaction, and submission to the AnVIL. Compliance with the plan will be monitored by the PI routinely. The PI will conduct 
monthly meetings with key study personnel to ensure the timeliness of data entry and will review data to ensure quality of 
data entry. The PI will ensure data are submitted and shared according to this DMSP. Progress on data sharing will be 
reported in the Research Performance Progress Report",,
Human Clinical Trial Data,element_6,"The contact PI for the project is Dr. Responsible at University of Pregnancy. Dr. Responsible will meet 
monthly with members of the project team, Dr. Doppler (University of City, clinical imaging data 
collection), Mr. Organized (University of Pregnancy, data manager), and Dr. Laboratory (University of 
State, processing of laboratory samples) to ensure that data collection, management and submission to 
repositories are compliant with this DMS Plan. Progress on this Plan will be communicated annually in 
the RPPR",,
Clinical data from human research participants-NIA,element_6,"The PI will oversee archiving and sharing of the analysis codes generated from this project upon 
publication or at the end of the project period, whichever comes first. The final project report will 
summarize adherence to this data management and sharing plan",,
"Survey, interview, and biological data (tiered access)",element_6,"The PI will oversee archiving and sharing of the analysis codes generated from this project upon 
publication or at the end of the project period, whichever comes first. The final project report will 
summarize adherence to this data management and sharing plan",,
Non-human data (primates),element_6,"The PI will oversee archiving and sharing of the analysis codes generated from this project upon 
publication or at the end of the project period, whichever comes first. The final project report will 
summarize adherence to this data management and sharing plan",,
Secondary data analysis-NIA,element_6,"The PI will oversee archiving and sharing of the analysis codes generated from this project upon 
publication or at the end of the project period, whichever comes first. The final project report will,
summarize adherence to this data management and sharing plan",,
Survey and interview data-NIA,element_6,"The PI will oversee archiving and sharing of the analysis codes generated from this project upon 
publication or at the end of the project period, whichever comes first. The final project report will 
summarize adherence to this data management and sharing plan. Communication with the study 
program officer will be made as needed to ensure compliance.",,
Human clinical and genomic data-NIA,element_6,"Oversight of data management and sharing, according to the specified timelines, and adherence to the 
DMS Plan will be monitored and managed by our data manager, [name and title of institutional 
representative(s) who will be responsible for data management and sharing of the plan]. The Office of 
Sponsored Programs at [list name of the institution] will ensure that all data are shared and managed in 
accordance with NIH data sharing policies as a part of the institution’s compliance during submission of 
the annual NIH Research Performance Project Report (RPPR)",,
Non-human data (rodents)-NIA,element_6,"The PI will have direct responsibility for oversight of data management and sharing for the project. The 
PI will establish and conduct quarterly meetings with lab members to identify all data that has been 
generated during the past quarter and which data must be shared to comply with the approved Plan. 
During preparation of research manuscripts and/or 6 months in advance of the end of the project, the PI 
will oversee the preparation of datasets to be submitted to DANDI.",,
Clinical data (human biospecimens),element_6,"The Office of Sponsored Programs at State University that will be administering this award has created 
a data management and sharing plan compliance system as part of their process for submitting the 
annual NIH progress report. That Office will be collecting information related to the number of research 
participants whose data are deposited each reporting year. The Office of Sponsored Programs will also 
look at the data DOIs from publications and will include that information in the annual progress report.",,
Drug discovery including intellectual property,element_6,"Prof. Smith (principal investigator (PI)) will be responsible for all aspects of data management and sharing, 
including collecting, analyzing, and describing the data. Prof. Smith will monitor adherence to NIH DMS 
and upload data to the AD Knowledge Portal and other repositories. The PI will validate/curate data once a
month.",,
